hierarchy,fold,horizon,seed,reconciliation_method,base_model,source,top_mae_native,top_mae_report,top_rmse_report,top_r2,mase,mase_valid,coherence_error_before,coherence_error_after,is_coherent_after,bottom_mae_mean_native,bottom_mae_weighted_native,worst_machine_mae_native,neg_pred_rate,prediction_hash,model_config_hash,cpu_core_total,report_unit,rel_mae_vs_independent,pct_vs_independent,persistence_mae_native,ewma_mae_native,ridge_mae_native,strongest_det_mae_native,strongest_det_name,rel_mae_vs_persistence,rel_mae_vs_ewma,rel_mae_vs_ridge,rel_mae_vs_strongest_det
cpu_core_weighted,0,1,0,independent,lightgbm,experiment-freeze-v2:cpu_classical,261.83698941467105,1.1094787687062333,2.776661579957436,0.6387864277289619,1.0028381724007482,True,172.09132864608608,172.09132864608608,False,46.61391014236892,50.643938498151456,111.90665608296979,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7810848358224072,0.780373140311825,0.8299766553654352,0.8299766553654352
cpu_core_weighted,0,1,0,bottom_up,lightgbm,experiment-freeze-v2:cpu_classical,237.4052437168076,1.0059544225288457,2.5086061254896443,0.7051622320192865,0.9092643528308827,True,172.09132864608608,0.0,True,46.61391014236892,50.643938498151456,111.90665608296979,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.9066910074375668,-9.330899256243319,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7082025966860248,0.7075573087665463,0.7525323698029486,0.7525323698029486
cpu_core_weighted,0,1,0,wls,lightgbm,experiment-freeze-v2:cpu_classical,235.9759663566457,0.9998981625281598,2.5049671390277455,0.7060169955093667,0.9037902068787669,True,172.09132864608608,0.0,True,48.36474936530754,52.62498662115447,119.5668036282799,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.9012323540847421,-9.876764591525788,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7039389253281224,0.7032975223077289,0.7480018149503719,0.7480018149503719
cpu_core_weighted,0,1,0,mint,lightgbm,experiment-freeze-v2:cpu_classical,235.46737748408017,0.9977431249325431,2.499442309079211,0.7073123537985095,0.9018423066351567,True,172.09132864608608,0.0,True,48.25110440351016,52.453396521708996,118.58520076844309,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.89928996667148,-10.071003332852001,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.702421755974331,0.7017817353423392,0.7463896787416886,0.7463896787416886
cpu_core_weighted,0,1,1,independent,lightgbm,robustness_extension,261.83698941467105,1.1094787687062333,2.776661579957436,0.6387864277289619,1.0028381724007482,True,172.09132864608608,172.09132864608608,False,46.61391014236892,50.643938498151456,111.90665608296979,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7810848358224072,0.780373140311825,0.8299766553654352,0.8299766553654352
cpu_core_weighted,0,1,1,bottom_up,lightgbm,robustness_extension,237.4052437168076,1.0059544225288457,2.5086061254896443,0.7051622320192865,0.9092643528308827,True,172.09132864608608,0.0,True,46.61391014236892,50.643938498151456,111.90665608296979,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.9066910074375668,-9.330899256243319,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7082025966860248,0.7075573087665463,0.7525323698029486,0.7525323698029486
cpu_core_weighted,0,1,1,wls,lightgbm,robustness_extension,235.9759663566457,0.9998981625281598,2.5049671390277455,0.7060169955093667,0.9037902068787669,True,172.09132864608608,0.0,True,48.36474936530754,52.62498662115447,119.5668036282799,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.9012323540847421,-9.876764591525788,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7039389253281224,0.7032975223077289,0.7480018149503719,0.7480018149503719
cpu_core_weighted,0,1,1,mint,lightgbm,robustness_extension,235.46737748408017,0.9977431249325431,2.499442309079211,0.7073123537985095,0.9018423066351567,True,172.09132864608608,0.0,True,48.25110440351016,52.453396521708996,118.58520076844309,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.89928996667148,-10.071003332852001,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.702421755974331,0.7017817353423392,0.7463896787416886,0.7463896787416886
cpu_core_weighted,0,1,2,independent,lightgbm,robustness_extension,261.83698941467105,1.1094787687062333,2.776661579957436,0.6387864277289619,1.0028381724007482,True,172.09132864608608,172.09132864608608,False,46.61391014236892,50.643938498151456,111.90665608296979,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,1.0,0.0,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7810848358224072,0.780373140311825,0.8299766553654352,0.8299766553654352
cpu_core_weighted,0,1,2,bottom_up,lightgbm,robustness_extension,237.4052437168076,1.0059544225288457,2.5086061254896443,0.7051622320192865,0.9092643528308827,True,172.09132864608608,0.0,True,46.61391014236892,50.643938498151456,111.90665608296979,0.0,7e987c6733b4f691,9c347608ec61ce96,236.0,weighted_mean_pct,0.9066910074375668,-9.330899256243319,335.22221582881184,335.52793643057095,315.4751253809486,315.4751253809486,ridge,0.7082025966860248,0.7075573087665463,0.7525323698029486,0.7525323698029486
